LONGITUDE,LATITUDE,LABEL,NAME,Substation,PrimaryFee,PrimaySubs,County,InternalSb,CustomersS,PhysicalLo
36° 28' 28.9292" E,0° 42' 45.9146" S,05974 - Nyondia Market,05974 - Nyondia Market,05974,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300609342,248.00000000000,KINAMBA AREA
36° 28' 13.8121" E,0° 42' 22.1289" S,17840 - NYONDIA SEC.SCHOOL,17840 - NYONDIA SEC.SCHOOL,17840,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300609343,136.00000000000,adjacent to nyodian PCEA chur
36° 28' 3.5356" E,0° 42' 33.6300" S,17841 - NYONDIA,17841 - NYONDIA,17841,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300609344,99.00000000000,Near Emmanuel Fellowship New
36° 29' 5.8003" E,0° 42' 10.5028" S,17211 - GOOD FAITH CHURCH,17211 - GOOD FAITH CHURCH,17211,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300609345,688.00000000000,longharn junior academy ECD
36° 29' 20.4077" E,0° 42' 17.5827" S,17959 - OLIJ FARM KARATI,17959 - OLIJ FARM KARATI,17959,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300609346,716.00000000000,SUBATI
36° 28' 42.4656" E,0° 41' 16.6573" S,05853 - KARATI MARKET,05853 - KARATI MARKET,05853,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300609347,1024.00000000000,oppOSITE mama kariuki posho m
36° 28' 38.9674" E,0° 40' 38.5646" S,17377 - RUTH WANJIKU,17377 - RUTH WANJIKU,17377,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300609349,274.00000000000,KARATI AREA
36° 28' 20.0345" E,0° 39' 59.2886" S,34123_1 - SYSTEM REINFORCEMEN,34123_1 - SYSTEM REINFORCEMEN,34123_1,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300609351,245.00000000000,NEAR GOOD HOPE ECD CENTRE
36° 28' 41.9408" E,0° 39' 52.0172" S,17381 - NEW KARATI BOREHOLE,17381 - NEW KARATI BOREHOLE,17381,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300609352,218.00000000000,karati
36° 28' 35.3671" E,0° 39' 14.8817" S,18852 - MILWAR ENTERPRISES,18852 - MILWAR ENTERPRISES,18852,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300609354,22.00000000000,inside hamwe farm
36° 28' 44.4967" E,0° 39' 14.5329" S,18241 - LIVE WIRE LTD,18241 - LIVE WIRE LTD,18241,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300609356,18.00000000000,HAMWE FLOWERS NYS.
36° 29' 5.1578" E,0° 38' 51.7061" S,17485 - LIVE WIRE LTD,17485 - LIVE WIRE LTD,17485,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300609361,97.00000000000,LIVE WIRE FLOWERS.
36° 29' 3.5021" E,0° 38' 33.3651" S,17112 - KNIGHTNGALE KARATI,17112 - KNIGHTNGALE KARATI,17112,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300609367,186.00000000000,KIHOTO/ NIGHT NGALE FARM
36° 30' 24.9819" E,0° 38' 18.4456" S,35053 - KIRIMA AREA,35053 - KIRIMA AREA,35053,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300609370,49.00000000000,KWAWANGU CENTER
36° 30' 45.4767" E,0° 37' 19.0348" S,17560 - CATHOLIC HOSP_KINANGOP,17560 - CATHOLIC HOSP_KINANGOP,17560,KINANGOP FEEDER 33KV,NAIVASHA SUBSTATION,Nakuru,300609383,83.00000000000,biashara ward
36° 31' 36.1226" E,0° 45' 12.4882" S,18467 - MARAIGUSHU SEC SCHOOL,18467 - MARAIGUSHU SEC SCHOOL,18467,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300609418,12.00000000000,opposite maigusho sec school
36° 31' 45.7597" E,0° 44' 34.4810" S,18468 - MARAIGUSHU DISPENSARY,18468 - MARAIGUSHU DISPENSARY,18468,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300609419,89.00000000000,MARAIGUSHU DISPENSARY
36° 35' 11.5673" E,0° 58' 59.8091" S,16868 - MAI MAHIU TOWN,16868 - MAI MAHIU TOWN,16868,TOWN 11KV EX MAI MAHIU,MAI MAHIU 66/11 SUB STATION,Nakuru,300609428,4213.00000000000,mai mahiu
36° 03' 27.2277" E,0° 17' 11.0845" S,05425 - Flour Mills,05425 - Flour Mills,05425,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609971,0.00000000000,OPPOSITE MOMBASA MAIZE MILLERS
36° 03' 21.8061" E,0° 17' 13.3545" S,05285 - Timber Mill,05285 - Timber Mill,05285,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609972,734.00000000000,menegai refineries
36° 03' 23.9314" E,0° 17' 8.5639" S,05041 - Printing House,05041 - Printing House,05041,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609973,835.00000000000,near ceramic tiles
36° 03' 30.7975" E,0° 17' 4.6938" S,05035 - Chery Blossom,05035 - Chery Blossom,05035,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609974,449.00000000000,nearby abc feeds limited
36° 03' 34.6009" E,0° 17' 2.3719" S,05276 - Animal Feeds Mills,05276 - Animal Feeds Mills,05276,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609975,1043.00000000000,unga mills
36° 03' 16.7675" E,0° 17' 8.2193" S,05043 - Samcon,05043 - Samcon,05043,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609976,454.00000000000,samcom
36° 03' 22.0756" E,0° 17' 3.5336" S,05363B - Wheat Silos,05363B - Wheat Silos,05363B,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609977,480.00000000000,WHEAT INDUSTRY
36° 03' 22.5399" E,0° 17' 4.0803" S,05037B - Unga Mills,05037B - Unga Mills,05037B,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609978,0.00000000000,UNGA FACTORY
36° 03' 24.8072" E,0° 17' 3.0479" S,05040 - Elliots,05040 - Elliots,05040,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609979,179.00000000000,ELIOTS INDUSTRY
36° 03' 14.4284" E,0° 16' 56.6474" S,05048 - F.I.T.C,05048 - F.I.T.C,05048,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609981,856.00000000000,FITC
36° 03' 2.1558" E,0° 16' 46.0511" S,17317B - Spin,17317B - Spin,17317B,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609982,500.00000000000,mega spin
36° 03' 1.3905" E,0° 16' 46.4207" S,05260 - Lamson Industries Ltd,05260 - Lamson Industries Ltd,05260,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609983,919.00000000000,opp megaspin ltd
36° 02' 56.0519" E,0° 16' 45.6286" S,17751 - LAMSONS INDUSTRIES,17751 - LAMSONS INDUSTRIES,17751,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609984,273.00000000000,opposite ncpb
36° 02' 51.4204" E,0° 16' 44.5816" S,17852 - P.Z FIBRE LTD,17852 - P.Z FIBRE LTD,17852,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609985,230.00000000000,pz fibre limited
36° 02' 42.2882" E,0° 16' 46.6280" S,05343 - Kenya Seed,05343 - Kenya Seed,05343,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609986,198.00000000000,kenya seed(Nakuru)
36° 02' 41.1146" E,0° 16' 44.5800" S,05485B - Milling Co,05485B - Milling Co,05485B,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609987,570.00000000000,maize milling
36° 02' 41.2992" E,0° 16' 43.3044" S,05562B - Animal Feeds,05562B - Animal Feeds,05562B,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609988,425.00000000000,animal feeds ltd
36° 02' 35.4515" E,0° 16' 43.8862" S,05811 - Temp. Konoike Const.,05811 - Temp. Konoike Const.,05811,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609989,0.00000000000,silo grain workshop
36° 02' 45.3983" E,0° 16' 38.7697" S,05680 - Wino Industries,05680 - Wino Industries,05680,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609991,237.00000000000,outside wino industries
36° 02' 56.2739" E,0° 16' 37.8741" S,17427 - Savanna Saw Mill,17427 - Savanna Saw Mill,17427,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609992,169.00000000000,Tai feeds
36° 03' 13.7023" E,0° 16' 45.9611" S,17634 - KEN SOUTH PLASTICS,17634 - KEN SOUTH PLASTICS,17634,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609994,613.00000000000,yanqwang
36° 03' 37.6333" E,0° 17' 9.6648" S,05397 - C.K Patel,05397 - C.K Patel,05397,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610023,1029.00000000000,NAKURU
36° 03' 50.3303" E,0° 17' 25.6897" S,05036 - Nyakio Farmers,05036 - Nyakio Farmers,05036,SOUTH 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610024,717.00000000000,OPPOSITE CHARISMATA REVIVAL C
36° 03' 48.4490" E,0° 17' 18.0212" S,18611 - West Road,18611 - West Road,18611,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610025,854.00000000000,NAKURU
36° 03' 59.0535" E,0° 17' 20.5972" S,05625 - Ondinga Oginga Road,05625 - Ondinga Oginga Road,05625,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610026,649.00000000000,NAKURU
36° 03' 57.6192" E,0° 17' 14.6850" S,05404 - Tom Mboya Road,05404 - Tom Mboya Road,05404,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610027,729.00000000000,near bontana hotel
36° 03' 52.8510" E,0° 17' 8.0078" S,05034 - Ndimu House,05034 - Ndimu House,05034,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610028,911.00000000000,NAKURU
36° 03' 49.4243" E,0° 17' 6.6277" S,18496 - NCPB GODOWN,18496 - NCPB GODOWN,18496,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610029,290.00000000000,KFA
36° 03' 59.9511" E,0° 17' 6.3416" S,05405 - Kobil Stn._Nakuru,05405 - Kobil Stn._Nakuru,05405,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610030,869.00000000000,ku plaza building
36° 04' 2.8660" E,0° 17' 5.7430" S,18511 - NO NAME,18511 - NO NAME,18511,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610031,506.00000000000,RVIST town campus
36° 04' 5.1265" E,0° 17' 12.8536" S,18512 - GOVERNMENT AVENUE,18512 - GOVERNMENT AVENUE,18512,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610032,695.00000000000,autorect motors
36° 04' 9.2573" E,0° 17' 4.0472" S,17761 - N.B.K_NAKURU,17761 - N.B.K_NAKURU,17761,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610033,1972.00000000000,national bank
36° 04' 11.5027" E,0° 17' 8.3287" S,17902 - MERICA HOLDINGS,17902 - MERICA HOLDINGS,17902,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610034,24.00000000000,merica hotel
36° 04' 16.2090" E,0° 17' 7.1040" S,18513 - REIGNFORCEMENT,18513 - REIGNFORCEMENT,18513,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610035,630.00000000000,gillani supermarket
36° 04' 11.8902" E,0° 17' 14.5298" S,17272 - Ardhi House,17272 - Ardhi House,17272,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610036,149.00000000000,Nakuru Law courts
36° 04' 13.3436" E,0° 17' 10.2094" S,05532 - Telephone House,05532 - Telephone House,05532,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610037,0.00000000000,Orange Building
36° 04' 10.8711" E,0° 17' 29.1234" S,17943 - ELIMU NURSERY,17943 - ELIMU NURSERY,17943,SOUTH 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610039,816.00000000000,catholic diocese
36° 04' 0.0119" E,0° 17' 33.1608" S,18495 - RONALD NGALA RD,18495 - RONALD NGALA RD,18495,SOUTH 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610040,382.00000000000,7th day church
36° 04' 18.8993" E,0° 17' 24.7396" S,05020 - St Xaviers Primary,05020 - St Xaviers Primary,05020,SOUTH 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610041,754.00000000000,st xavier primary
36° 04' 13.5977" E,0° 17' 40.3952" S,05022 - Stadium Road,05022 - Stadium Road,05022,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610042,0.00000000000,NAKURU
36° 04' 34.9831" E,0° 17' 32.5833" S,18688 - STADIUM ROAD ESTATE-A,18688 - STADIUM ROAD ESTATE-A,18688,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610043,0.00000000000,st marys primary school
36° 04' 28.6104" E,0° 17' 55.7918" S,05024 - Freehold Area,05024 - Freehold Area,05024,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610044,754.00000000000,afuraha martenity
36° 04' 31.4980" E,0° 17' 54.5581" S,18033 - FREE HOLD FLATS,18033 - FREE HOLD FLATS,18033,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610045,618.00000000000,free hold
36° 04' 34.5738" E,0° 17' 53.1334" S,18676 - WARENG RD REIGNFORCEM,18676 - WARENG RD REIGNFORCEM,18676,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610046,1001.00000000000,block A 1-4
36° 04' 37.6464" E,0° 17' 50.6258" S,18677 - STADIUM RD,18677 - STADIUM RD,18677,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610047,985.00000000000,NAKURU
36° 04' 24.0773" E,0° 17' 36.8701" S,18656 - NGALA ESTATE,18656 - NGALA ESTATE,18656,RACE TRACK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610048,1122.00000000000,NAKURU
36° 04' 22.6283" E,0° 17' 58.4318" S,17759 - KANU STREET,17759 - KANU STREET,17759,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610064,2368.00000000000,freehold
36° 04' 16.9758" E,0° 18' 0.8374" S,18698 - WARENG RD REIGNFORCEM,18698 - WARENG RD REIGNFORCEM,18698,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610065,836.00000000000,Kanyoni Scrap Metals
36° 04' 8.5475" E,0° 17' 57.9692" S,05523 - Free Hold Estate,05523 - Free Hold Estate,05523,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610066,511.00000000000,free hold estate
36° 04' 3.9098" E,0° 17' 55.4386" S,18667 - FREE HOLD ESTATE REIG,18667 - FREE HOLD ESTATE REIG,18667,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610067,367.00000000000,al gadhiri medical centre
36° 04' 6.7371" E,0° 17' 50.3310" S,17795 - DELIVERENCE_FREEHOLD,17795 - DELIVERENCE_FREEHOLD,17795,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610068,80.00000000000,harambee primary
36° 04' 2.9424" E,0° 17' 45.7125" S,05903B - Police Lines_ Nakuru,05903B - Police Lines_ Nakuru,05903B,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610069,471.00000000000,NAKURU
36° 04' 0.7940" E,0° 18' 1.4536" S,18666 - FREEHOLD,18666 - FREEHOLD,18666,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610070,849.00000000000,along kericho road
36° 04' 14.2842" E,0° 18' 6.0509" S,05740 - Ngera Estate,05740 - Ngera Estate,05740,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610071,579.00000000000,NAKURU
36° 04' 26.9912" E,0° 18' 3.7071" S,17396 - Kenya Shell Ltd,17396 - Kenya Shell Ltd,17396,RACE TRACK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610072,784.00000000000,NAKURU
36° 04' 19.5978" E,0° 18' 19.3028" S,18695 - RACE COURSE,18695 - RACE COURSE,18695,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610073,765.00000000000,langa langa
36° 04' 19.7839" E,0° 18' 23.9079" S,18696 - RACE COURSE,18696 - RACE COURSE,18696,RACE TRACK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610074,533.00000000000,behind carole school
36° 04' 13.1663" E,0° 18' 22.0778" S,05936 - Race Track Estate,05936 - Race Track Estate,05936,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610075,1532.00000000000,behind langa langa primary
36° 04' 24.8720" E,0° 18' 18.9476" S,05406 - Pangani Pri. Sch_Nakur,05406 - Pangani Pri. Sch_Nakur,05406,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610076,5871.00000000000,racecourse
36° 04' 28.7261" E,0° 18' 25.3337" S,17898 - PANGANI ESTATE_NAKURU,17898 - PANGANI ESTATE_NAKURU,17898,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610077,4874.00000000000,pangani primary school
36° 04' 26.4665" E,0° 18' 30.0475" S,18694 - RACE TRACK ESTATE,18694 - RACE TRACK ESTATE,18694,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610078,2047.00000000000,Philadephia school
36° 04' 25.7374" E,0° 18' 37.3732" S,18693 - RACE TRACK ESTATE,18693 - RACE TRACK ESTATE,18693,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610079,912.00000000000,catholic diocese of nakuru ch
36° 04' 19.0918" E,0° 18' 34.6553" S,05935 - Race Track Estate,05935 - Race Track Estate,05935,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610080,1693.00000000000,friends church pangani
36° 04' 16.6387" E,0° 18' 30.0166" S,18093 - LANGALANGA,18093 - LANGALANGA,18093,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610081,1313.00000000000,Sun City Complex
36° 04' 11.8614" E,0° 18' 37.8918" S,17085 - Race Track Pri. School,17085 - Race Track Pri. School,17085,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610082,1553.00000000000,next to josmil supermarket
36° 04' 8.3958" E,0° 18' 32.5452" S,18691 - RONDA,18691 - RONDA,18691,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610083,998.00000000000,Races-Course Primary
36° 04' 14.4931" E,0° 18' 41.3697" S,18692 - RONDA,18692 - RONDA,18692,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610084,550.00000000000,behind st joseph  the worker
36° 04' 10.1891" E,0° 18' 11.8317" S,05132 - RONDA,05132 - RONDA,05132,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610085,2064.00000000000,sundowner hotel
36° 04' 3.1144" E,0° 18' 14.8876" S,18699 - LANGALANGA EST.,18699 - LANGALANGA EST.,18699,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610086,894.00000000000,glane hotel
36° 04' 2.1159" E,0° 18' 19.6035" S,05372 - Langa Langa Estate P,05372 - Langa Langa Estate P,05372,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610087,1418.00000000000,next to zoopis cafe
36° 03' 55.4279" E,0° 18' 14.5457" S,17075 - 1st Ronda Avenue,17075 - 1st Ronda Avenue,17075,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610088,980.00000000000,ronda
36° 04' 3.4320" E,0° 18' 7.0470" S,18280 - FREE HOLD EST.,18280 - FREE HOLD EST.,18280,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610089,754.00000000000,free hold
36° 03' 42.4463" E,0° 18' 6.8438" S,18498 - RONDA,18498 - RONDA,18498,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610090,6243.00000000000,Pistis academy
36° 03' 48.9803" E,0° 18' 14.3738" S,18669 - BARUT,18669 - BARUT,18669,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610091,1514.00000000000,NEAR CK PLAZA
36° 03' 53.3603" E,0° 18' 1.7618" S,05766 - Langalanga/Freehold,05766 - Langalanga/Freehold,05766,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610092,1417.00000000000,KIHARA PLAZA
36° 04' 2.2186" E,0° 18' 30.1032" S,18659 - TOTEM AND OTHERS,18659 - TOTEM AND OTHERS,18659,RACE TRACK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610094,1656.00000000000,OPPOSITE NYATI GUEST HOUSE
36° 04' 4.1329" E,0° 18' 35.2859" S,05934 - Race Track Estate,05934 - Race Track Estate,05934,RACE TRACK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610095,1303.00000000000,NAKURU
36° 03' 58.0188" E,0° 18' 26.1454" S,17103 - Mwariki Estate,17103 - Mwariki Estate,17103,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610097,1412.00000000000,top ten petrol station
36° 03' 47.8244" E,0° 18' 29.6465" S,05844 - M.C.N Sewage,05844 - M.C.N Sewage,05844,RACE TRACK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610098,2825.00000000000,Ponda Mali
36° 03' 37.4269" E,0° 18' 25.0945" S,18293 - RONDA EST.,18293 - RONDA EST.,18293,RACE TRACK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610099,6700.00000000000,konyaja
36° 03' 44.3457" E,0° 18' 32.5236" S,17785 - PONDA MALI,17785 - PONDA MALI,17785,RACE TRACK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610100,928.00000000000,ponda
36° 04' 0.4348" E,0° 18' 16.0218" S,18658 - KANU STREET,18658 - KANU STREET,18658,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610102,659.00000000000,Githongosho bld
36° 03' 20.6328" E,0° 18' 18.6260" S,18638 - RONDA EST.,18638 - RONDA EST.,18638,RACE TRACK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610103,2084.00000000000,next to SDA church
36° 03' 14.3243" E,0° 18' 37.8278" S,18637 - RONDA EST.,18637 - RONDA EST.,18637,RACE TRACK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610104,12885.00000000000,kobowen komen primary school
36° 03' 1.6241" E,0° 18' 16.8515" S,18639 - RONDA EST.,18639 - RONDA EST.,18639,RACE TRACK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610105,1164.00000000000,precious sand sec school/posta
36° 03' 24.8671" E,0° 18' 49.5594" S,18636 - RONDA EST.,18636 - RONDA EST.,18636,RACE TRACK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610107,1464.00000000000,bridge school
36° 04' 35.3624" E,0° 18' 0.6193" S,18689 - THE EROS HOTEL,18689 - THE EROS HOTEL,18689,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610111,734.00000000000,THE EROS HOTEL
36° 04' 30.3143" E,0° 18' 8.7379" S,05579 - Pangani Estate_Nakuru,05579 - Pangani Estate_Nakuru,05579,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610113,1746.00000000000,NAKURU
36° 04' 36.3157" E,0° 18' 10.9770" S,05079 - Flamingo Estate,05079 - Flamingo Estate,05079,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610114,1983.00000000000,flamingo estate
36° 04' 58.2796" E,0° 18' 11.0068" S,05389 - Flamingo 2 Shuleni R,05389 - Flamingo 2 Shuleni R,05389,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610115,2532.00000000000,flamingo 2 shuleni R
36° 05' 13.9573" E,0° 18' 7.4960" S,35973 - Kaloleni c,35973 - Kaloleni c,35973,SOUTH EX LANET,LANET SUBSTATION,Nakuru,300610116,230.00000000000,Kaloleni primary
36° 05' 20.3266" E,0° 18' 11.3633" S,05517 - Sewage Old,05517 - Sewage Old,05517,SOUTH EX LANET,LANET SUBSTATION,Nakuru,300610117,0.00000000000,NAKURU
36° 05' 15.0428" E,0° 17' 56.3774" S,05464 - A P Line,05464 - A P Line,05464,SOUTH EX LANET,LANET SUBSTATION,Nakuru,300610118,5414.00000000000,next TO AP CAMP
36° 04' 58.3228" E,0° 17' 59.9161" S,05014 - Kivumbini Estate,05014 - Kivumbini Estate,05014,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610119,13991.00000000000,NAKURU
36° 04' 58.3204" E,0° 17' 52.9304" S,05870 - Kivumbini Estate,05870 - Kivumbini Estate,05870,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610120,3863.00000000000,NEAR THE GATE OF AIC CHURCH
36° 04' 50.4873" E,0° 17' 50.4008" S,05479 - Police Lines_Bondeni,05479 - Police Lines_Bondeni,05479,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610121,1625.00000000000,NAKURU
36° 04' 57.9961" E,0° 17' 44.2914" S,17779 - Bondeni Estate_Nakuru,17779 - Bondeni Estate_Nakuru,17779,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610122,1430.00000000000,NAKURU
36° 04' 58.3890" E,0° 17' 33.4489" S,05012 - Shuleni Road,05012 - Shuleni Road,05012,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610124,4966.00000000000,kisulisuli area
36° 04' 40.7129" E,0° 18' 18.9956" S,17696 - FLAMINGO ESTATE,17696 - FLAMINGO ESTATE,17696,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610125,1145.00000000000,lake view school
36° 05' 0.8011" E,0° 18' 25.8062" S,17394 - M.C.Ngame Park,17394 - M.C.Ngame Park,17394,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610126,66.00000000000,NAKURU
36° 04' 39.4644" E,0° 18' 30.9938" S,05026 - Lake View Est._Nakuru,05026 - Lake View Est._Nakuru,05026,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610127,1290.00000000000,GAME PARK
36° 05' 5.4595" E,0° 19' 19.3782" S,05293 - National Park,05293 - National Park,05293,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610128,0.00000000000,NAKURU
